spec,outcome,outcome_label,exposure_measure,mode,event_time,coefficient,std_error,p_value,ci_low,ci_high,nobs,n_cno,r2_twfe,sample_note
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,-20,-1534.5476190484958,930.4712956231846,0.10035444840011283,-3358.2713584699377,289.1761203729459,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,-4,-1005.99206349273,497.3720426830802,0.044173303027022034,-1980.8412671515673,-31.14285983389277,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,-3,-918.642857143582,395.4754275596175,0.020985478679286684,-1693.7746951604322,-143.51101912673164,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,-2,-488.4920634925261,195.16867267827934,0.012953633214340048,-871.0226619419536,-105.9614650430986,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,0,-546.7578292712102,539.4232091782474,0.3117510782504088,-1604.027319260575,510.51166071815453,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,1,-324.190476191056,379.22005885148144,0.3934286920882374,-1067.4617915399597,419.0808391578476,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,2,-479.01587301643104,429.90438433974714,0.26624282465724586,-1321.6284663223355,363.59672028947335,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,3,-83.37301587371468,508.9810672093328,0.8700174465889695,-1080.975907604007,914.2298758565776,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,4,-106.64285714347467,484.5181912690325,0.8259715342242744,-1056.2985120307785,843.0127977438291,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,5,648.714285713776,326.6913907908014,0.048153606186701545,8.3991597638053,1289.0294116637467,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,6,81.31746031696176,204.5691546920325,0.6913322192796835,-319.638082879422,482.27300351334543,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,7,361.71428571348605,259.6675151256288,0.1648552719548649,-147.23404393274643,870.6626153597185,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,8,-199.41186507580767,326.8444029390462,0.5423392388072809,-840.0268948363382,441.2031646847229,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,9,13.650793650301466,201.74661057731484,0.9461077210763285,-381.7725630812356,409.07415038183854,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,10,140.71428571358788,133.81963542002177,0.29403021573951554,-121.57219970965477,403.0007711368305,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,11,477.3253968247716,206.98638340369283,0.02192208082593552,71.63208535353368,883.0187082960094,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,12,140.7895676777535,283.88662236107035,0.6203736042770902,-415.62821214994443,697.2073475054515,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,13,115.91269841204075,253.04368380820796,0.6472956918556089,-380.05292185204684,611.8783186761284,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,14,-186.35714285771465,410.8747308167119,0.6505360333698674,-991.67161525847,618.9573295430407,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,15,152.5793650788831,458.56936915678466,0.7396165234860124,-746.2165984684148,1051.375328626181,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,16,111.67460317393,291.78512233568244,0.702244673919961,-460.2242366040076,683.5734429518676,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,17,530.0079365073859,281.70355695330585,0.061069615304305894,-22.131035121093532,1082.1469081358655,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,18,577.6269841264417,269.5526310270016,0.033082207558306674,49.30382731351858,1105.9501409393647,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,19,206.15079365013372,212.19591577442333,0.3322288516786874,-209.75320126773602,622.0547885680035,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,20,39.674603173981666,236.2410181674108,0.8667647645967147,-423.3577924341435,502.70699878210684,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,21,227.8968253962721,202.0212159856062,0.260361736319896,-168.06475793551607,623.8584087280603,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,22,37.42063492008185,176.8994236198282,0.8326405310676308,-309.30223537478145,384.14350521494515,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,23,711.3968253961646,270.4134898063259,0.009046024841402139,181.38638537576583,1241.4072654165634,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,24,306.6220645860426,261.20272858628863,0.241553565511698,-205.33528344308309,818.5794126151683,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,25,-145.41269841330814,283.4529140351684,0.6083991830765966,-700.9804099222382,410.15501309562194,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,26,-175.8730158736698,411.34874030763143,0.6693438215345999,-982.1165468766275,630.3705151292878,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,27,-37.23809523875431,540.811990001809,0.9451591453248407,-1097.2295956423,1022.7534051647913,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,28,33.72603968601334,377.6364359453897,0.9289081770632397,-706.4413747669504,773.8934541389771,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,29,553.15873015807,291.99474739845033,0.05931966746344025,-19.150974742892686,1125.4684350590326,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,30,588.4761904755112,252.6330167769487,0.020633420603967008,93.31547759269176,1083.6369033583305,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,31,546.9920634916016,235.88325632209302,0.021203562737603678,84.66088110029926,1009.3232458829038,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,32,81.39682539620753,196.67965563941786,0.6793338302069906,-304.09529965705144,466.8889504494665,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,33,-96.6269841276833,180.5665161573113,0.5930321153763407,-450.53735579601346,257.2833875406468,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,34,-318.8492063498628,299.8259966114375,0.2886010927617911,-906.5081597082803,268.8097470085547,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,35,631.8174603168227,252.28236600208626,0.012900789738076908,137.3440229527336,1126.2908976809117,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,36,-23.26415647600578,287.30303074793324,0.9355269339520812,-586.378096741955,539.8497837899433,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,37,-164.14285714339218,280.577851291002,0.5590617100432717,-714.0754456737561,385.7897313869717,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,38,-115.64285714337142,291.4218235846047,0.6918352398895719,-686.8296313691966,455.54391708245373,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,39,-153.38888888937043,446.5795959437071,0.7315287349030838,-1028.6848969390362,721.9071191602955,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,40,57.44444444383471,268.73043388515674,0.8309059382928903,-469.26720597107254,584.156094858742,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,41,376.8730158722575,274.45418360991755,0.17092405526153695,-161.05718400318085,914.8032157476958,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,42,-5.515873016508749,237.00075946371416,0.9814504807424819,-470.0373615653885,459.005615532371,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
