period,period_date,nearest_group,occupations,total_parados,mean_parados,mean_ln_parados,total_contratos,ln_total_parados,base_ln_total_parados,ln_total_parados_index
2022-09,2022-09-01,middle,125,599057.0,4792.456,6.649114005581358,469201.0,13.303112031167958,13.314614822809181,-0.011502791641223808
2022-09,2022-09-01,zero,253,1437868.0,5705.825396825397,6.687839846463678,905858.0,14.178672018891234,14.204370638300036,-0.025698619408801804
2022-10,2022-10-01,high,124,898047.0,7242.314516129032,6.8661269539310705,256088.0,13.70797768444479,13.725741342557969,-0.017763658113178593
2022-10,2022-10-01,middle,125,582806.0,4662.448,6.639330233854382,420474.0,13.275609648377166,13.314614822809181,-0.03900517443201501
2022-10,2022-10-01,zero,253,1434039.0,5668.138339920949,6.689641524986957,847577.0,14.176005496424601,14.204370638300036,-0.02836514187543493
2022-11,2022-11-01,high,124,886244.0,7147.129032258064,6.858316695079809,245485.0,13.694747586706827,13.725741342557969,-0.03099375585114217
2022-11,2022-11-01,middle,125,574717.0,4597.736,6.634608802592708,410613.0,13.26163302470911,13.314614822809181,-0.0529817981000722
2022-11,2022-11-01,zero,253,1420419.0,5614.304347826087,6.685641709225201,768185.0,14.166462456475264,14.204370638300036,-0.03790818182477196
2022-12,2022-12-01,high,124,869940.0,7015.645161290323,6.850411969930604,193675.0,13.676179522735294,13.725741342557969,-0.04956181982267438
2022-12,2022-12-01,middle,125,565318.0,4522.544,6.623716324965249,358236.0,13.24514368365654,13.314614822809181,-0.06947113915264147
2022-12,2022-12-01,zero,253,1402395.0,5543.063241106719,6.6743903833723754,638006.0,14.153692047266206,14.204370638300036,-0.050678591033829434
2023-01,2023-01-01,high,124,894077.0,7210.298387096775,6.873183043887966,196511.0,13.703547180200612,13.725741342557969,-0.022194162357356717
2023-01,2023-01-01,middle,125,576007.0,4608.056,6.643310181070137,362295.0,13.263875092381962,13.314614822809181,-0.05073973042721924
2023-01,2023-01-01,zero,253,1438313.0,5685.03162055336,6.69838900357242,641943.0,14.178981456999303,14.204370638300036,-0.0253891813007332
2023-02,2023-02-01,high,124,895799.0,7224.185483870968,6.875794859625239,187811.0,13.705471336434107,13.725741342557969,-0.020270006123862316
2023-02,2023-02-01,middle,125,574804.0,4598.432,6.640512011994833,310759.0,13.261784392105035,13.314614822809181,-0.05283043070414628
2023-02,2023-02-01,zero,253,1440412.0,5693.328063241107,6.722119012892936,586232.0,14.180439741741315,14.204370638300036,-0.023930896558720605
2023-03,2023-03-01,high,124,882105.0,7113.75,6.867140234921115,219379.0,13.69006637552237,13.725741342557969,-0.03567496703559847
2023-03,2023-03-01,middle,125,563424.0,4507.392,6.617639157333241,366333.0,13.24178773202617,13.314614822809181,-0.07282709078301153
2023-03,2023-03-01,zero,253,1416731.0,5599.727272727273,6.675228166672775,729381.0,14.163862662966112,14.204370638300036,-0.040507975333923696
2023-04,2023-04-01,high,124,860212.0,6937.193548387097,6.843850101342971,187777.0,13.664934149478599,13.725741342557969,-0.06080719307936988
2023-04,2023-04-01,middle,125,547611.0,4380.888,6.5815134049744834,322697.0,13.2133204598499,13.314614822809181,-0.10129436295928151
2023-04,2023-04-01,zero,253,1380547.0,5456.707509881423,6.6486639086681745,646842.0,14.137990355408446,14.204370638300036,-0.06638028289158981
2023-05,2023-05-01,high,124,847632.0,6835.741935483871,6.831725614758801,222269.0,13.650201858321015,13.725741342557969,-0.07553948423695367
2023-05,2023-05-01,middle,125,537811.0,4302.488,6.554491846236309,407442.0,13.195262476307988,13.314614822809181,-0.1193523465011932
2023-05,2023-05-01,zero,253,1353181.0,5369.765873015873,6.632488446860033,781926.0,14.117968674997922,14.204370638300036,-0.08640196330211403
2023-06,2023-06-01,high,124,833963.0,6725.508064516129,6.831804447903337,253799.0,13.633944315848357,13.725741342557969,-0.09179702670961198
2023-06,2023-06-01,middle,125,533094.0,4264.752,6.538782399275615,379294.0,13.186453047823486,13.314614822809181,-0.1281617749856956
2023-06,2023-06-01,zero,253,1321785.0,5224.446640316206,6.618027420332395,859710.0,14.094493653792501,14.204370638300036,-0.10987698450753491
2023-07,2023-07-01,high,124,836808.0,6748.451612903225,6.852355911645751,243619.0,13.637349932476543,13.725741342557969,-0.08839141008142626
2023-07,2023-07-01,middle,125,538625.0,4309.0,6.570484267048619,334588.0,13.19677487491814,13.314614822809181,-0.11783994789104213
2023-07,2023-07-01,zero,253,1302441.0,5147.98814229249,6.6150202022109825,853176.0,14.079750754078898,14.204370638300036,-0.12461988422113812
2023-08,2023-08-01,high,124,847835.0,6837.379032258064,6.871446179831427,166690.0,13.65044132037008,13.725741342557969,-0.07530002218788923
2023-08,2023-08-01,middle,125,545515.0,4364.12,6.598893497188633,267584.0,13.209485581585731,13.314614822809181,-0.10512924122344991
2023-08,2023-08-01,zero,253,1309350.0,5175.296442687747,6.626773265401652,654557.0,14.085041388831606,14.204370638300036,-0.11932924946843038
2023-09,2023-09-01,high,124,844136.0,6919.147540983607,6.850710810328299,224189.0,13.64606889803761,13.725741342557969,-0.07967244452035871
2023-09,2023-09-01,middle,125,540501.0,4358.879032258064,6.596151817100176,377783.0,13.200251766198448,13.314614822809181,-0.11436305661073298
2023-09,2023-09-01,zero,253,1325425.0,5238.833992094862,6.6310146903307015,766196.0,14.097243720688644,14.204370638300036,-0.10712691761139226
2023-10,2023-10-01,high,124,861989.0,6951.524193548387,6.88208242428366,241579.0,13.666997788543526,13.725741342557969,-0.05874355401444298
2023-10,2023-10-01,middle,125,544907.0,4359.256,6.601803029327758,375047.0,13.20837041688251,13.314614822809181,-0.10624440592667206
2023-10,2023-10-01,zero,253,1352508.0,5345.881422924901,6.647917694326633,779888.0,14.117471204657553,14.204370638300036,-0.08689943364248265
2023-11,2023-11-01,high,124,850891.0,6862.024193548387,6.8731314503459275,247281.0,13.654039314745631,13.725741342557969,-0.07170202781233748
2023-11,2023-11-01,middle,125,539617.0,4316.936,6.584916468030774,387989.0,13.198614907637856,13.314614822809181,-0.1159999151713258
2023-11,2023-11-01,zero,253,1344323.0,5313.529644268775,6.640745335598654,721023.0,14.111401098572186,14.204370638300036,-0.09296953972785005
2023-12,2023-12-01,high,124,840261.0,6776.298387096775,6.863446286850145,181735.0,13.641467836843523,13.725741342557969,-0.08427350571444592
2023-12,2023-12-01,middle,125,534620.0,4276.96,6.5828598750585865,329040.0,13.189311493135698,13.314614822809181,-0.1253033296734838
2023-12,2023-12-01,zero,253,1332575.0,5267.094861660079,6.6336402594556185,605378.0,14.102623718616423,14.204370638300036,-0.10174691968361316
2024-01,2024-01-01,high,124,858201.0,6920.975806451613,6.874923063880691,201478.0,13.662593616768433,13.725741342557969,-0.06314772578953587
2024-01,2024-01-01,middle,125,544598.0,4356.784,6.599394390436529,328114.0,13.207803186794928,13.314614822809181,-0.10681163601425325
2024-01,2024-01-01,zero,253,1365061.0,5395.498023715415,6.650422373089241,656008.0,14.126709674247378,14.204370638300036,-0.07766096405265799
2024-02,2024-02-01,high,124,853890.0,6886.209677419355,6.869763182778644,195433.0,13.657557658853941,13.725741342557969,-0.06818368370402794
2024-02,2024-02-01,middle,125,541054.0,4328.432,6.591220934969626,323104.0,13.201274368004533,13.314614822809181,-0.11334045480464816
2024-02,2024-02-01,zero,253,1365464.0,5397.090909090909,6.648086924759725,618870.0,14.12700485557912,14.204370638300036,-0.07736578272091599
2024-03,2024-03-01,high,124,843911.0,6805.7338709677415,6.867221819328846,192939.0,13.645802317780861,13.725741342557969,-0.0799390247771079
2024-03,2024-03-01,middle,125,533783.0,4270.264,6.574410468524688,305544.0,13.187744668311671,13.314614822809181,-0.12687015449751016
2024-03,2024-03-01,zero,253,1349309.0,5333.237154150198,6.643995617577162,625005.0,14.115103167521884,14.204370638300036,-0.089267470778152
2024-04,2024-04-01,high,124,826716.0,6667.064516129032,6.846526710639904,211278.0,13.625216505111784,13.725741342557969,-0.10052483744618534
2024-04,2024-04-01,middle,125,519329.0,4154.632,6.5329556934095345,349313.0,13.1602928726791,13.314614822809181,-0.15432195013008077
2024-04,2024-04-01,zero,253,1320455.0,5219.189723320158,6.618471716754597,706849.0,14.093486932137898,14.204370638300036,-0.11088370616213794
2024-05,2024-05-01,high,124,812648.0,6553.612903225807,6.824628493860198,214219.0,13.608053330444186,13.725741342557969,-0.1176880121137831
2024-05,2024-05-01,middle,125,507808.0,4062.464,6.514805934098747,371822.0,13.13785870236257,13.314614822809181,-0.17675612044661193
2024-05,2024-05-01,zero,253,1287394.0,5088.513833992095,6.593201379134081,753612.0,14.068130578033632,14.204370638300036,-0.13624006026640423
2024-06,2024-06-01,high,124,800458.0,6455.306451612903,6.808503033573661,241157.0,13.592939342834459,13.725741342557969,-0.13280199972350992
2024-06,2024-06-01,middle,125,502287.0,4018.296,6.5023041514265945,341915.0,13.126926948455578,13.314614822809181,-0.18768787435360323
2024-06,2024-06-01,zero,253,1258322.0,4973.604743083004,6.575032077620319,796891.0,14.045289645334076,14.204370638300036,-0.15908099296595957
2024-07,2024-07-01,high,124,803044.0,6476.1612903225805,6.830349608873813,261990.0,13.596164785948282,13.725741342557969,-0.12957655660968648
2024-07,2024-07-01,middle,125,508083.0,4064.664,6.534264540809937,344305.0,13.13840009904138,13.314614822809181,-0.17621472376780112
2024-07,2024-07-01,zero,253,1239110.0,4897.667984189723,6.576341769473299,915221.0,14.029903937945678,14.204370638300036,-0.1744667003543583
2024-08,2024-08-01,high,124,812956.0,6556.096774193548,6.855750595319531,163519.0,13.608432266524172,13.725741342557969,-0.1173090760337967
2024-08,2024-08-01,middle,125,513938.0,4111.504,6.563966314147808,252470.0,13.149857914593722,13.314614822809181,-0.16475690821545896
2024-08,2024-08-01,zero,253,1245227.0,4921.845849802372,6.590393992841281,624170.0,14.034828400578244,14.204370638300036,-0.16954223772179233
2024-09,2024-09-01,high,124,812763.0,6607.829268292683,6.842921915630267,240330.0,13.60819483311667,13.725741342557969,-0.11754650944129885
2024-09,2024-09-01,middle,125,507254.0,4058.032,6.554713962673463,380522.0,13.136767143314929,13.314614822809181,-0.17784767949425273
2024-09,2024-09-01,zero,253,1253646.0,4955.122529644269,6.59069965740535,788728.0,14.041566663671086,14.204370638300036,-0.16280397462895024
2024-10,2024-10-01,high,124,818926.0,6604.241935483871,6.853920885255063,254554.0,13.615749004662675,13.725741342557969,-0.10999233789529406
2024-10,2024-10-01,middle,125,508552.0,4068.416,6.562362789774361,412116.0,13.139322750795985,13.314614822809181,-0.17529207201319608
2024-10,2024-10-01,zero,253,1274576.0,5037.849802371542,6.602134536147167,860337.0,14.058124132248368,14.204370638300036,-0.14624650605166778
2024-11,2024-11-01,high,124,813337.0,6559.169354838709,6.852211944635253,218021.0,13.608900816787834,13.725741342557969,-0.11684052577013482
2024-11,2024-11-01,middle,125,504588.0,4036.704,6.566374139299907,384964.0,13.131497533693475,13.314614822809181,-0.18311728911570668
2024-11,2024-11-01,zero,253,1268093.0,5012.225296442688,6.596904502898651,698497.0,14.05302475513836,14.204370638300036,-0.1513458831616763
2024-12,2024-12-01,high,124,803353.0,6478.653225806452,6.846368464221886,191426.0,13.596549497826866,13.725741342557969,-0.12919184473110334
2024-12,2024-12-01,middle,125,499883.0,3999.064,6.557153373805601,357547.0,13.122129350022057,13.314614822809181,-0.19248547278712458
2024-12,2024-12-01,zero,253,1257482.0,4970.284584980237,6.5989475642926525,633733.0,14.044621866738275,14.204370638300036,-0.1597487715617607
2025-01,2025-01-01,high,124,819443.0,6608.4112903225805,6.857578177850905,201134.0,13.616380120140521,13.725741342557969,-0.10936122241744783
2025-01,2025-01-01,middle,125,505765.0,4046.12,6.577858842524236,350826.0,13.133827413512567,13.314614822809181,-0.18078740929661485
2025-01,2025-01-01,zero,253,1273732.0,5054.492063492064,6.611434048388951,661111.0,14.05746173191775,14.204370638300036,-0.14690890638228637
2025-02,2025-02-01,high,124,818599.0,6601.604838709677,6.862069719757125,186664.0,13.615349621441844,13.725741342557969,-0.11039172111612494
2025-02,2025-02-01,middle,125,502779.0,4022.232,6.560777757938602,315268.0,13.127905988716217,13.314614822809181,-0.1867088340929648
2025-02,2025-02-01,zero,253,1272071.0,5027.948616600791,6.60016496118103,596559.0,14.056156838934523,14.204370638300036,-0.1482137993655126
2025-03,2025-03-01,high,124,813793.0,6562.846774193548,6.856262677068035,204674.0,13.609461312890712,13.725741342557969,-0.11628002966725681
2025-03,2025-03-01,middle,125,500306.0,4002.448,6.548513218677861,309781.0,13.1229751902087,13.314614822809181,-0.19163963260048078
2025-03,2025-03-01,zero,253,1266039.0,5004.106719367589,6.593798061561977,652146.0,14.051403686898977,14.204370638300036,-0.15296695140105854
2025-04,2025-04-01,high,124,793633.0,6400.2661290322585,6.828543558078868,192868.0,13.584376416749555,13.725741342557969,-0.1413649258084142
2025-04,2025-04-01,middle,125,485967.0,3887.736,6.520742584528363,301773.0,13.093895999342669,13.314614822809181,-0.2207188234665125
2025-04,2025-04-01,zero,253,1233118.0,4873.98418972332,6.562219416082959,646092.0,14.025056479108338,14.204370638300036,-0.1793141591916978
2025-05,2025-05-01,high,124,779833.0,6288.975806451613,6.814196411575187,213436.0,13.566835073178446,13.725741342557969,-0.15890626937952312
2025-05,2025-05-01,middle,125,473752.0,3790.016,6.494567874490141,358763.0,13.068439257005746,13.314614822809181,-0.24617556580343525
2025-05,2025-05-01,zero,253,1201298.0,4748.213438735178,6.540259814721065,756784.0,13.998913196845015,14.204370638300036,-0.20545744145502098
2025-06,2025-06-01,high,124,768840.0,6200.322580645161,6.80208186847812,256392.0,13.552638164421067,13.725741342557969,-0.1731031781369019
2025-06,2025-06-01,middle,125,468274.0,3746.192,6.4780287633685845,371714.0,13.056808873664508,13.314614822809181,-0.25780594914467336
2025-06,2025-06-01,zero,253,1168849.0,4619.95652173913,6.51375702995365,868567.0,13.971530061880046,14.204370638300036,-0.23284057641999034
2025-07,2025-07-01,high,124,774105.0,6242.782258064516,6.831909373349961,264272.0,13.559462802285754,13.725741342557969,-0.16627854027221467
2025-07,2025-07-01,middle,125,474598.0,3796.784,6.50132070901031,354151.0,13.07022340889991,13.314614822809181,-0.24439141390927155
2025-07,2025-07-01,zero,253,1155903.0,4568.786561264822,6.519711053936839,970560.0,13.960392414659214,14.204370638300036,-0.24397822364082167
2025-08,2025-08-01,high,124,784539.0,6326.927419354839,6.853034531155013,162617.0,13.572851563112682,13.725741342557969,-0.15288977944528703
2025-08,2025-08-01,middle,125,481293.0,3850.344,6.5208281236407055,243662.0,13.084231511241951,13.314614822809181,-0.23038331156723046
2025-08,2025-08-01,zero,253,1160679.0,4587.664031620553,6.53842162951801,633683.0,13.964515736662673,14.204370638300036,-0.23985490163736323
2025-09,2025-09-01,high,124,783006.0,6365.90243902439,6.845231479603333,258738.0,13.570895637778829,13.725741342557969,-0.15484570477913984
2025-09,2025-09-01,middle,125,453999.0,3661.282258064516,6.4795563232334095,391839.0,13.025850274377888,13.314614822809181,-0.28876454843129373
2025-09,2025-09-01,zero,253,1163311.0,4616.313492063492,6.530062800461843,854874.0,13.966780807618486,14.204370638300036,-0.23758983068155004
2025-10,2025-10-01,high,124,788374.0,6357.854838709677,6.852539841732,253642.0,13.577727875533247,13.725741342557969,-0.14801346702472173
2025-10,2025-10-01,middle,125,473215.0,3785.72,6.526434496038846,406982.0,13.067305109654125,13.314614822809181,-0.24730971315505634
2025-10,2025-10-01,zero,253,1182176.0,4691.174603174603,6.574551758153264,849732.0,13.982867366032856,14.204370638300036,-0.2215032722671797
2025-11,2025-11-01,high,124,780432.0,6293.806451612903,6.849796308469488,220261.0,13.567602891503446,13.725741342557969,-0.15813845105452273
2025-11,2025-11-01,middle,125,468968.0,3751.744,6.507852666606076,356574.0,13.05828981482344,13.314614822809181,-0.2563250079857422
2025-11,2025-11-01,zero,253,1175561.0,4646.486166007905,6.5462468806711405,719368.0,13.977256038427445,14.204370638300036,-0.22711459987259097
2025-12,2025-12-01,high,124,772587.0,6230.540322580645,6.841332443872328,199684.0,13.557499902771951,13.725741342557969,-0.16824143978601747
2025-12,2025-12-01,middle,125,467137.0,3737.096,6.508795793694006,354026.0,13.054377855513218,13.314614822809181,-0.26023696729596324
2025-12,2025-12-01,zero,253,1168946.0,4620.339920948617,6.5539844523819895,676646.0,13.97161304605963,14.204370638300036,-0.2327575922404055
2026-01,2026-01-01,high,124,784960.0,6330.322580645161,6.8508305273077985,189040.0,13.573388040052262,13.725741342557969,-0.15235330250570733
2026-01,2026-01-01,middle,125,471808.0,3774.464,6.516849030437681,318207.0,13.064327402149386,13.314614822809181,-0.25028742065979515
2026-01,2026-01-01,zero,253,1182294.0,4673.098814229249,6.556250915898646,656308.0,13.98296717698423,14.204370638300036,-0.22140346131580557
2026-02,2026-02-01,high,124,787167.0,6348.120967741936,6.854388262218802,186935.0,13.576195703109775,13.725741342557969,-0.14954563944819377
2026-02,2026-02-01,middle,125,470186.0,3761.488,6.505754424438315,311366.0,13.060883640080819,13.314614822809181,-0.25373118272836237
2026-02,2026-02-01,zero,253,1185293.0,4684.95256916996,6.549334113314951,620695.0,13.985500559372266,14.204370638300036,-0.21887007892777
2026-03,2026-03-01,high,124,781355.0,6301.25,6.860443306769609,216501.0,13.568784871001878,13.725741342557969,-0.15695647155609116
2026-03,2026-03-01,middle,125,465994.0,3727.952,6.4944625424921645,358087.0,13.051928037488413,13.314614822809181,-0.26268678532076883
2026-03,2026-03-01,zero,253,1172363.0,4633.845849802372,6.538990497692736,736482.0,13.974531928126058,14.204370638300036,-0.2298387101739774
