age_bucket,period,period_date,exposure_group,ln_parados,ln_contratos,ln_parados_contratos
30-39,2022-07,2022-07-01,middle,4.895665256714688,4.735655843724122,0.1854512637076697
30-39,2022-07,2022-07-01,zero,4.747604147734888,4.780424560336328,-0.03791926251922622
30-39,2022-08,2022-08-01,high,5.006548144543896,4.386304295278607,0.7234154084654264
30-39,2022-08,2022-08-01,middle,4.9565726746671155,4.437721619792519,0.523139080121493
30-39,2022-08,2022-08-01,zero,4.771928613983676,4.5359376311654405,0.2793462325786738
30-39,2022-09,2022-09-01,high,4.965216216064755,4.712535883642037,0.3612922570541967
30-39,2022-09,2022-09-01,middle,4.961875756055547,4.938258918311163,0.04370202504886739
30-39,2022-09,2022-09-01,zero,4.742854090554991,4.84044264423991,-0.033260747565224735
30-39,2022-10,2022-10-01,high,5.0621999138534965,4.67583537789385,0.40030183616016035
30-39,2022-10,2022-10-01,middle,4.915228307641426,4.7872020915585916,0.16699923638213002
30-39,2022-10,2022-10-01,zero,4.722174869236491,4.707958301707041,0.0449398891931793
30-39,2022-11,2022-11-01,high,5.011040261589647,4.575389390152853,0.480058438914879
30-39,2022-11,2022-11-01,middle,4.909286188540512,4.703457278649739,0.2488130703817921
30-39,2022-11,2022-11-01,zero,4.715145075850726,4.69109634311652,0.10809548396353912
30-39,2022-12,2022-12-01,high,4.96089093570693,4.284311592868636,0.7698609541133519
30-39,2022-12,2022-12-01,middle,4.853900908480779,4.450525825748653,0.46228128679334485
30-39,2022-12,2022-12-01,zero,4.712281026591613,4.403759388136781,0.36744167422426655
30-39,2023-01,2023-01-01,high,5.0496860401619035,4.488872690864438,0.6179181144052782
30-39,2023-01,2023-01-01,middle,4.8484811773394405,4.550936417395488,0.3372864089385379
30-39,2023-01,2023-01-01,zero,4.7817653163436225,4.638911668636603,0.17371278449615324
30-39,2023-02,2023-02-01,high,5.00475734511498,4.507788258519634,0.6088515785668094
30-39,2023-02,2023-02-01,middle,4.966099629064049,4.502835253295416,0.36900369924738186
30-39,2023-02,2023-02-01,zero,4.768005285424829,4.595807679510317,0.23711056712158005
30-39,2023-03,2023-03-01,high,4.963675274126964,4.613631222236061,0.44684547331266317
30-39,2023-03,2023-03-01,middle,4.938519237245277,4.7183331990329025,0.18158555635838491
30-39,2023-03,2023-03-01,zero,4.719145276329215,4.742786708566645,0.028749468797871405
30-39,2023-04,2023-04-01,high,4.956569466150707,4.408748737488943,0.6344957845607577
30-39,2023-04,2023-04-01,middle,4.8742268965949345,4.546094466874752,0.39590484227298073
30-39,2023-04,2023-04-01,zero,4.690876920199034,4.561856455620994,0.19944861053102714
30-39,2023-05,2023-05-01,high,4.944826473838082,4.552630344360516,0.4861526874834709
30-39,2023-05,2023-05-01,middle,4.817320195030463,4.632917018397179,0.2095199999186693
30-39,2023-05,2023-05-01,zero,4.642248345456478,4.619829321332248,0.04857038230418222
30-39,2023-06,2023-06-01,high,4.9400528833221395,4.566774266383496,0.4823257014509273
30-39,2023-06,2023-06-01,middle,4.790265878759917,4.601230425767913,0.17914075127193896
30-39,2023-06,2023-06-01,zero,4.641595384246199,4.684866529895752,0.019162829660263943
30-39,2023-07,2023-07-01,high,4.96829680587655,4.413110294161714,0.6827601703151558
30-39,2023-07,2023-07-01,middle,4.780348791161996,4.546820212669276,0.27285401470591175
30-39,2023-07,2023-07-01,zero,4.630074315942951,4.576803214129292,0.10808093558505288
30-39,2023-08,2023-08-01,high,4.991007317540132,4.137766372341947,1.0086490831086643
30-39,2023-08,2023-08-01,middle,4.827943442918804,4.2915042391056115,0.6238962561647932
30-39,2023-08,2023-08-01,zero,4.642175843057585,4.338271191222837,0.33776554236431516
30-39,2023-09,2023-09-01,high,4.937907277080471,4.56482862312633,0.5374892653671307
30-39,2023-09,2023-09-01,middle,4.761161237282202,4.551734283486175,0.209426953796027
30-39,2023-09,2023-09-01,zero,4.638918616266181,4.646616801836462,0.054652843679966284
30-39,2023-10,2023-10-01,high,4.976414487784353,4.486637210064513,0.5599947745595838
30-39,2023-10,2023-10-01,middle,4.75744070494202,4.641218038560862,0.2412594257897656
30-39,2023-10,2023-10-01,zero,4.661053062074513,4.616299756719308,0.07650784091239116
30-39,2023-11,2023-11-01,high,4.972974409069397,4.443833749144101,0.6276794281373139
30-39,2023-11,2023-11-01,middle,4.823487348784225,4.536461380278571,0.3569802773597709
30-39,2023-11,2023-11-01,zero,4.651329751727423,4.535772264506311,0.1472499946948409
30-39,2023-12,2023-12-01,high,4.9756747369711345,4.122211118587151,0.9885787808320711
30-39,2023-12,2023-12-01,middle,4.77967411747871,4.283104693031861,0.6504675486990091
30-39,2023-12,2023-12-01,zero,4.656920663480158,4.303603939708441,0.4085607439224777
30-39,2024-01,2024-01-01,high,5.005768564628908,4.464488555751105,0.6956459660497434
30-39,2024-01,2024-01-01,middle,4.832034923048027,4.533457539637009,0.3417036791337255
30-39,2024-01,2024-01-01,zero,4.683044272346694,4.603467036864453,0.12114891670770038
30-39,2024-02,2024-02-01,high,4.989362213803041,4.476883428217701,0.6625353757806255
30-39,2024-02,2024-02-01,middle,4.838387943066394,4.526604853891896,0.3824871023289241
30-39,2024-02,2024-02-01,zero,4.643330190975688,4.58033655347364,0.12088776320302436
30-39,2024-03,2024-03-01,high,5.019207660257775,4.385080109506636,0.7273477338333507
30-39,2024-03,2024-03-01,middle,4.836616032952669,4.510021803561508,0.4195200032669345
30-39,2024-03,2024-03-01,zero,4.613814245118642,4.510905774554225,0.15723040761967944
30-39,2024-04,2024-04-01,high,5.002736229587005,4.487998711452469,0.6038268562614083
30-39,2024-04,2024-04-01,middle,4.800045054009129,4.511030984281472,0.2998017052843148
30-39,2024-04,2024-04-01,zero,4.578048787115781,4.5672665034950635,0.04863800869442069
30-39,2024-06,2024-06-01,high,4.948136997834294,4.387151869388098,0.6582047714724878
30-39,2024-06,2024-06-01,middle,4.8305149576206015,4.483615690372681,0.3335489092675732
30-39,2024-06,2024-06-01,zero,4.548649130655662,4.543150558235362,0.06297848857201398
30-39,2024-07,2024-07-01,high,4.986930293621339,4.422952401673743,0.6645647179723284
30-39,2024-07,2024-07-01,middle,4.778059306869303,4.494150316357525,0.3011276240436708
30-39,2024-07,2024-07-01,zero,4.534199366744428,4.579698508741562,-0.005708819793180148
30-39,2024-08,2024-08-01,high,5.035140674565947,3.9208812520678276,1.1647642291000095
30-39,2024-08,2024-08-01,middle,4.809139511135003,4.18743351969657,0.69959744372962
30-39,2024-08,2024-08-01,zero,4.562323794227003,4.269079009266858,0.34814954714354396
30-39,2024-09,2024-09-01,high,4.998243293391876,4.521653801004718,0.5961392308796775
30-39,2024-09,2024-09-01,middle,4.7648548997400475,4.658254912020918,0.1470499578491495
30-39,2024-09,2024-09-01,zero,4.569441910335425,4.633696089875846,-0.033356809219106116
30-39,2024-10,2024-10-01,high,5.003352375113507,4.513245004227201,0.5700124124755391
30-39,2024-10,2024-10-01,middle,4.800655707973595,4.559696539454857,0.20086735857775168
30-39,2024-10,2024-10-01,zero,4.577878578933957,4.675789269743423,-0.04434688539293119
30-39,2024-11,2024-11-01,high,5.005553516413935,4.36254226689309,0.7450451814125273
30-39,2024-11,2024-11-01,middle,4.762733282583364,4.465189014983453,0.3415727767790556
30-39,2024-11,2024-11-01,zero,4.579572240621656,4.538490150614261,0.09768858398312703
30-39,2024-12,2024-12-01,high,4.995100576685796,4.2004013703672065,0.9623479015095968
30-39,2024-12,2024-12-01,middle,4.77343511433546,4.34359269783638,0.5665257146339588
30-39,2024-12,2024-12-01,zero,4.583712247737072,4.298551469076513,0.3516608104859274
30-39,2025-01,2025-01-01,high,5.0250330194134,4.4180050564738025,0.7095488824062673
30-39,2025-01,2025-01-01,middle,4.711463889873455,4.456232225300428,0.3444045302403562
30-39,2025-01,2025-01-01,zero,4.59121278664866,4.555922161607174,0.08148145502443342
30-39,2025-02,2025-02-01,high,5.033018409655718,4.413310134296504,0.7415341916235298
30-39,2025-02,2025-02-01,middle,4.69189420735373,4.386069208769873,0.37705976279818
30-39,2025-02,2025-02-01,zero,4.5622902844876005,4.427207264568291,0.16800503941326655
30-39,2025-03,2025-03-01,high,5.02375411993807,4.501251809791379,0.6567192668183468
30-39,2025-03,2025-03-01,middle,4.682920368139301,4.48345469637864,0.27776730936281885
30-39,2025-03,2025-03-01,zero,4.548006246310556,4.517911099561877,0.09481578044758894
30-39,2025-04,2025-04-01,high,5.002290554413308,4.393418742613842,0.7094144482058934
30-39,2025-04,2025-04-01,middle,4.661203923564106,4.440870337363695,0.30725818014993717
30-39,2025-04,2025-04-01,zero,4.52250619592707,4.465474141079313,0.13221471244881033
30-39,2025-05,2025-05-01,high,4.9411641059600155,4.40352100045458,0.6305354474841459
30-39,2025-05,2025-05-01,middle,4.729652286143485,4.5172647131663926,0.2900960976478573
30-39,2025-05,2025-05-01,zero,4.497649325296604,4.520027565157353,0.006127831661466371
30-39,2025-06,2025-06-01,high,4.902563707807751,4.390414097997296,0.6769188851096168
30-39,2025-06,2025-06-01,middle,4.694459423037742,4.528415871420128,0.22886305460932224
30-39,2025-06,2025-06-01,zero,4.463480346004163,4.561669902954397,-0.02538515651570657
30-39,2025-07,2025-07-01,high,4.978569314104109,4.460297477178772,0.6233316429881205
30-39,2025-07,2025-07-01,middle,4.73706761506145,4.499241334343341,0.24722439512378705
30-39,2025-07,2025-07-01,zero,4.46901227824936,4.556113882334267,-0.04324784000866467
30-39,2025-08,2025-08-01,high,4.976191193384526,4.043334007861773,1.1522060742085292
30-39,2025-08,2025-08-01,middle,4.813834039585586,4.151308457768209,0.7333363356360078
30-39,2025-08,2025-08-01,zero,4.4863313963736475,4.22745346480045,0.30973970066771034
30-39,2025-09,2025-09-01,high,4.947317373127397,4.5725869256897065,0.5177277648349166
30-39,2025-09,2025-09-01,middle,4.690281550329399,4.678728837945445,0.09303796123443608
30-39,2025-09,2025-09-01,zero,4.4569666106763455,4.641088618424982,-0.1372446348430566
30-39,2025-10,2025-10-01,high,4.990449500871588,4.530566001190166,0.5371132165810766
30-39,2025-10,2025-10-01,middle,4.729825186436025,4.622961592486648,0.16056503392644475
30-39,2025-10,2025-10-01,zero,4.4855417413710645,4.620302960526073,-0.06963860828300754
30-39,2025-11,2025-11-01,high,4.950433295877945,4.430307360220669,0.7182162999923478
30-39,2025-11,2025-11-01,middle,4.767614521868303,4.36744812077993,0.38812220428727856
30-39,2025-11,2025-11-01,zero,4.4865474554331914,4.528443181273419,0.03941102594806228
30-39,2025-12,2025-12-01,high,5.0071596350162535,4.182608232595908,0.9107126330697161
30-39,2025-12,2025-12-01,middle,4.760074694346649,4.242600845747955,0.5310977577341449
30-39,2025-12,2025-12-01,zero,4.547325250628742,4.263376377568073,0.3299028565169062
30-39,2026-01,2026-01-01,high,5.00494441804303,4.3920894440020515,0.720649904978055
30-39,2026-01,2026-01-01,middle,4.754384239833436,4.4171908147350925,0.3621414288292088
30-39,2026-01,2026-01-01,zero,4.525808923474161,4.477332936022008,0.08663169619748219
30-39,2026-02,2026-02-01,high,4.972420094232943,4.345218906372574,0.8139494495540619
30-39,2026-02,2026-02-01,middle,4.735890212736724,4.407281989806101,0.32677417006093556
30-39,2026-02,2026-02-01,zero,4.520271418362415,4.428085042813732,0.12390363405693677
30-39,2026-03,2026-03-01,high,4.987896904123151,4.476004828058002,0.6619715552306377
30-39,2026-03,2026-03-01,middle,4.737888190958106,4.6477370890243455,0.17831205602131495
30-39,2026-03,2026-03-01,zero,4.50284467097735,4.554346505202478,-0.0130558789127559
40 to >44,2021-01,2021-01-01,high,6.601624970926337,4.506271400283645,2.170592249686978
40 to >44,2021-01,2021-01-01,middle,6.434774383273301,4.865114363652275,1.8344627688346116
40 to >44,2021-01,2021-01-01,zero,6.540683618358967,5.007214803612967,1.5708595733028101
40 to >44,2021-02,2021-02-01,high,6.60998433312166,4.491996965266789,2.2530709335147274
40 to >44,2021-02,2021-02-01,middle,6.4396813772821835,4.6902672517879775,1.8791262082111142
40 to >44,2021-02,2021-02-01,zero,6.549448052833538,5.020074669029065,1.5789188106290726
40 to >44,2021-03,2021-03-01,high,6.613223573412025,4.689199589894485,2.050374924181365
40 to >44,2021-03,2021-03-01,middle,6.4256562133781,4.871952630261239,1.6943921187583473
40 to >44,2021-03,2021-03-01,zero,6.539431120190431,5.199271310838811,1.3896294554819082
40 to >44,2021-04,2021-04-01,high,6.602179285813301,4.619448490719903,2.1282286412218263
40 to >44,2021-04,2021-04-01,middle,6.409392139234455,4.813601820221336,1.7405661231782457
40 to >44,2021-04,2021-04-01,zero,6.534627158940856,5.104181362014826,1.4666514274840794
40 to >44,2021-05,2021-05-01,high,6.586583438872823,4.6753503297934325,2.0567812815124737
40 to >44,2021-05,2021-05-01,middle,6.384392751977294,4.7526076987916035,1.7104658909954162
40 to >44,2021-05,2021-05-01,zero,6.51505112890085,5.118151812434645,1.4238582965268027
40 to >44,2021-06,2021-06-01,high,6.569671094282437,4.699364864939609,1.9424007930043945
40 to >44,2021-06,2021-06-01,middle,6.3591001308507265,4.918869258831692,1.602776983817457
40 to >44,2021-06,2021-06-01,zero,6.483170335697717,5.200129913186443,1.3092266771624481
40 to >44,2021-07,2021-07-01,high,6.548124775850793,4.728278439175238,1.9317437010981782
40 to >44,2021-07,2021-07-01,middle,6.347657383595092,4.864990595595295,1.616030586594432
40 to >44,2021-07,2021-07-01,zero,6.444557212217387,5.210894772369503,1.2665131529099147
40 to >44,2021-08,2021-08-01,high,6.5376227950530055,4.4510194920319455,2.2199391347873316
40 to >44,2021-08,2021-08-01,middle,6.347298369636597,4.660251328092934,1.8521507392849144
40 to >44,2021-08,2021-08-01,zero,6.430247850259723,4.974423274965486,1.497473559882399
40 to >44,2021-09,2021-09-01,high,6.483647850655135,4.792831587446251,1.7310989899710407
40 to >44,2021-09,2021-09-01,middle,6.270991965308317,5.015156354677003,1.320793070990755
40 to >44,2021-09,2021-09-01,zero,6.405119488172329,5.26758357472222,1.150924746320423
40 to >44,2021-10,2021-10-01,high,6.492371914506238,4.842782364258482,1.7314666941449568
40 to >44,2021-10,2021-10-01,middle,6.30187921250756,5.10048449615916,1.3581487742398013
40 to >44,2021-10,2021-10-01,zero,6.431456943890733,5.262089523235402,1.1828611836281102
40 to >44,2021-11,2021-11-01,high,6.471924183372054,4.89612528584556,1.6153313062333055
40 to >44,2021-11,2021-11-01,middle,6.275721073003988,5.153341476547398,1.2496855501697672
40 to >44,2021-11,2021-11-01,zero,6.389402616091504,5.358055704919023,1.0454587733630971
40 to >44,2021-12,2021-12-01,high,6.459501865668595,4.712351206603499,1.8224074960573413
40 to >44,2021-12,2021-12-01,middle,6.25857742394116,4.8040990357431745,1.4960910102566394
40 to >44,2021-12,2021-12-01,zero,6.386766907851394,5.110642784952547,1.3156865290962494
40 to >44,2022-01,2022-01-01,high,6.469302232674476,4.814331385367288,1.7699018265425488
40 to >44,2022-01,2022-01-01,middle,6.264093341581429,5.0683455588682325,1.3791381826005085
40 to >44,2022-01,2022-01-01,zero,6.385809730034243,5.209851931275747,1.207892725780366
40 to >44,2022-02,2022-02-01,high,6.454565487028539,4.885362891037073,1.7341566518729046
40 to >44,2022-02,2022-02-01,middle,6.244070138858039,4.93550017730427,1.3955324071512316
40 to >44,2022-02,2022-02-01,zero,6.37120472424261,5.133413781709957,1.2650193350040326
40 to >44,2022-03,2022-03-01,high,6.447626278928089,5.035955999872398,1.542377723881409
40 to >44,2022-03,2022-03-01,middle,6.237157888892635,5.108740303851894,1.2500591641863974
40 to >44,2022-03,2022-03-01,zero,6.371257098744457,5.342509937951916,1.0804671534803378
40 to >44,2022-04,2022-04-01,high,6.425530379255366,4.718240676936769,1.7865766443527187
40 to >44,2022-04,2022-04-01,middle,6.214960344196457,4.882727889812315,1.450004707774086
40 to >44,2022-04,2022-04-01,zero,6.353995500347034,5.225470138953669,1.2115877431003412
40 to >44,2022-05,2022-05-01,high,6.411662913057566,4.812515510748566,1.6898842643907432
40 to >44,2022-05,2022-05-01,middle,6.198500087902786,4.9772499163610044,1.361199058270203
40 to >44,2022-05,2022-05-01,zero,6.359662140429758,5.173511479029602,1.1999565343585863
40 to >44,2022-06,2022-06-01,high,6.4000901738497245,4.887698633174195,1.6432071543688334
40 to >44,2022-06,2022-06-01,middle,6.18771299997547,5.04763147739755,1.2959885305816525
40 to >44,2022-06,2022-06-01,zero,6.309822667965987,5.266424480807106,1.0833807081812277
40 to >44,2022-07,2022-07-01,high,6.424760162860127,4.729917210206263,1.7666066884202414
40 to >44,2022-07,2022-07-01,middle,6.220177712996899,4.9176452377679105,1.3438354221993822
40 to >44,2022-07,2022-07-01,zero,6.307128575997585,5.161530438106717,1.182115244944628
40 to >44,2022-08,2022-08-01,high,6.433949303226974,4.435920066461032,2.113760894147206
40 to >44,2022-08,2022-08-01,middle,6.233022513442689,4.758132664235189,1.647699292542063
40 to >44,2022-08,2022-08-01,zero,6.313580072797631,4.945877873188983,1.426840519161965
40 to >44,2022-09,2022-09-01,high,6.397185455101253,4.856735910745563,1.6368602239364072
40 to >44,2022-09,2022-09-01,middle,6.221741414637123,5.119296758229753,1.2552548713109426
40 to >44,2022-09,2022-09-01,zero,6.306547321687965,5.143940647918068,1.2013221305345527
40 to >44,2022-10,2022-10-01,high,6.417088683076472,4.8402777849764425,1.6917212990794674
40 to >44,2022-10,2022-10-01,middle,6.212929014063407,5.08399950150996,1.3238193589671043
40 to >44,2022-10,2022-10-01,zero,6.309698376833283,5.160880382336996,1.202263420184127
40 to >44,2022-11,2022-11-01,high,6.409412002420953,4.716495342428309,1.7845475488079745
40 to >44,2022-11,2022-11-01,middle,6.211240023943947,4.837122301980787,1.4056391326966284
40 to >44,2022-11,2022-11-01,zero,6.305488692168404,5.007967537746479,1.3123645644802857
40 to >44,2022-12,2022-12-01,high,6.406599128784092,4.517146532410949,1.9844298256345942
40 to >44,2022-12,2022-12-01,middle,6.202725919332393,4.683660470434526,1.6347078102721855
40 to >44,2022-12,2022-12-01,zero,6.298332123398149,4.785255785592788,1.5449188985296682
40 to >44,2023-01,2023-01-01,high,6.420548869155217,4.664594534751573,1.8309725170609925
40 to >44,2023-01,2023-01-01,middle,6.217904543633462,4.774771613271509,1.517441647607991
40 to >44,2023-01,2023-01-01,zero,6.315034223369657,5.013283642913257,1.3640109493364017
40 to >44,2023-02,2023-02-01,high,6.41916999125235,4.712145821049016,1.8232601464253748
40 to >44,2023-02,2023-02-01,middle,6.212414850023886,4.864557412406491,1.4946308472398704
40 to >44,2023-02,2023-02-01,zero,6.334200683336139,4.9355264101990795,1.4353568626032502
40 to >44,2023-03,2023-03-01,high,6.412188481444482,4.7868284312743485,1.702599227065436
40 to >44,2023-03,2023-03-01,middle,6.191151825513112,5.012714910034353,1.3222968419344778
40 to >44,2023-03,2023-03-01,zero,6.291739846740624,5.06891954134565,1.2486675369927795
40 to >44,2023-04,2023-04-01,high,6.399435089266625,4.601642163975691,1.9083813063474353
40 to >44,2023-04,2023-04-01,middle,6.171173595883973,4.7774433391831925,1.5119202257616797
40 to >44,2023-04,2023-04-01,zero,6.274753953200568,4.910794951212,1.4195710182301096
40 to >44,2023-05,2023-05-01,high,6.3934482337752705,4.730686699614913,1.7363700093880643
40 to >44,2023-05,2023-05-01,middle,6.148635262523302,4.800551023352301,1.3480842391710008
40 to >44,2023-05,2023-05-01,zero,6.262191375981067,5.085058800983357,1.2375195097533165
40 to >44,2023-06,2023-06-01,high,6.390311384541855,4.741449408338199,1.7586539606844445
40 to >44,2023-06,2023-06-01,middle,6.139131100572754,4.904331758317176,1.401323000717896
40 to >44,2023-06,2023-06-01,zero,6.248822860637935,5.051116000490823,1.2492125986196254
40 to >44,2023-07,2023-07-01,high,6.402352278122567,4.615513404145426,1.8961417055731185
40 to >44,2023-07,2023-07-01,middle,6.155234907845808,4.723700070856398,1.5421568978415527
40 to >44,2023-07,2023-07-01,zero,6.247184724333922,4.963860057493251,1.3410704757887482
40 to >44,2023-08,2023-08-01,high,6.414114356381239,4.2237389944376025,2.2840140907119397
40 to >44,2023-08,2023-08-01,middle,6.173617926561965,4.560794177707879,1.7910293600271794
40 to >44,2023-08,2023-08-01,zero,6.25413460714596,4.696795683180445,1.5853788175101002
40 to >44,2023-09,2023-09-01,high,6.375438613791631,4.676734622316313,1.805452469440371
40 to >44,2023-09,2023-09-01,middle,6.207441788522746,4.962701821060076,1.349355798940371
40 to >44,2023-09,2023-09-01,zero,6.248278549893513,4.983927494167708,1.282719484801548
40 to >44,2023-10,2023-10-01,high,6.403593380835586,4.802829896482637,1.7578701573074353
40 to >44,2023-10,2023-10-01,middle,6.164951704316587,4.931213541641763,1.3897634792159321
40 to >44,2023-10,2023-10-01,zero,6.263195839080334,4.960426348244307,1.316877211621654
40 to >44,2023-11,2023-11-01,high,6.390244273626922,4.665547854713221,1.8306600042814767
40 to >44,2023-11,2023-11-01,middle,6.152484114256427,4.765614098453721,1.4723432577481108
40 to >44,2023-11,2023-11-01,zero,6.260801496590071,4.952006701022318,1.3401660697835736
40 to >44,2023-12,2023-12-01,high,6.3921156638678145,4.4791672260062025,2.050698387827197
40 to >44,2023-12,2023-12-01,middle,6.154554802727062,4.6362397010696235,1.6845829491002315
40 to >44,2023-12,2023-12-01,zero,6.2571936308191525,4.693436803152654,1.6152500909419245
40 to >44,2024-01,2024-01-01,high,6.398067433048942,4.670857145113487,1.852721602926482
40 to >44,2024-01,2024-01-01,middle,6.1525514620551425,4.9072942774873,1.420302620133822
40 to >44,2024-01,2024-01-01,zero,6.26955211249234,5.0117383163789695,1.319701911116363
40 to >44,2024-02,2024-02-01,high,6.396039845904854,4.766356552920643,1.7972828364464002
40 to >44,2024-02,2024-02-01,middle,6.150385323183691,4.921039650939656,1.4250084074386051
40 to >44,2024-02,2024-02-01,zero,6.26600987825828,4.928495702180488,1.3891747465524555
40 to >44,2024-03,2024-03-01,high,6.401269402310386,4.581265862623583,1.9287932379979906
40 to >44,2024-03,2024-03-01,middle,6.135119533101122,4.705652748724619,1.5367392319622346
40 to >44,2024-03,2024-03-01,zero,6.266954553767261,4.833589095162587,1.4610563462491069
40 to >44,2024-04,2024-04-01,high,6.399235517088359,4.708900947474722,1.7962930787323683
40 to >44,2024-04,2024-04-01,middle,6.10894939355441,4.95087999816593,1.3814134087317564
40 to >44,2024-04,2024-04-01,zero,6.250119339415218,4.9316870070746575,1.3459296101088163
40 to >44,2024-06,2024-06-01,high,6.365593226411612,4.56741925078384,1.8910383939894468
40 to >44,2024-06,2024-06-01,middle,6.089298198710799,4.819189421972618,1.4597781824886908
40 to >44,2024-06,2024-06-01,zero,6.2144053370913745,4.880174223809048,1.3633340881619262
40 to >44,2024-07,2024-07-01,high,6.3784841642755215,4.6028855480372135,1.8340950708516996
40 to >44,2024-07,2024-07-01,middle,6.111729132247449,4.74636765745591,1.4591038413275959
