design,month_id,relative_month,treated_mean,uniform_control_mean,synthetic_control_mean,sdid_unit_weighted_control_mean,period_type
total_ocup4d,24287,14,6.852600975168325,6.662400456753358,6.765583380315673,6.561818416685905,post
total_ocup4d,24288,15,6.842524840826853,6.655227818361495,6.760356535107788,6.552827809403821,post
total_ocup4d,24289,16,6.8545776114987556,6.672616653395139,6.78064876711023,6.5750204828703565,post
total_ocup4d,24290,17,6.8499969172811115,6.670496465389342,6.770424661928455,6.566006812215712,post
total_ocup4d,24291,18,6.847373147288391,6.666224467852356,6.763451117075304,6.563566239359617,post
total_ocup4d,24292,19,6.827223056091949,6.64076608783217,6.732531501422887,6.533109125406062,post
total_ocup4d,24293,20,6.805468794668886,6.615785730928885,6.705627789972689,6.5109318393331295,post
total_ocup4d,24294,21,6.788018469317681,6.597773208803769,6.69344698669213,6.492371086472469,post
total_ocup4d,24295,22,6.805059485158337,6.5984778876725505,6.713194183953473,6.512435180401565,post
total_ocup4d,24296,23,6.829920345933248,6.612465517295992,6.738557082687106,6.5396804205876675,post
total_ocup4d,24297,24,6.824727405929889,6.616093739437661,6.732625697060159,6.531319089682186,post
total_ocup4d,24298,25,6.83374429304333,6.627334210614165,6.729248154263282,6.534389050249624,post
total_ocup4d,24299,26,6.8328711627956045,6.621644595512042,6.715663708597623,6.521594439322281,post
total_ocup4d,24300,27,6.826747870623874,6.620797246257849,6.717687440499014,6.5246952485239,post
total_ocup4d,24301,28,6.838699704366458,6.631923661211942,6.7276213876891005,6.5375900412320105,post
total_ocup4d,24302,29,6.8435636047237045,6.6221265428073295,6.715800232124936,6.526591872849628,post
total_ocup4d,24303,30,6.8378567766784375,6.615890275050434,6.712042584061436,6.518100841629025,post
total_ocup4d,24304,31,6.81004497460187,6.586881534039754,6.675804642810556,6.482281045803784,post
total_ocup4d,24305,32,6.796101913555365,6.565223886558737,6.659094203104247,6.464488466375486,post
total_ocup4d,24306,33,6.782573578173899,6.538782553085617,6.6419108300473795,6.4462868034243614,post
total_ocup4d,24307,34,6.807753121006253,6.544488570153423,6.663499615130627,6.4702387432084505,post
total_ocup4d,24308,35,6.8280930324244125,6.5603175863624585,6.680963026228977,6.48907523662086,post
total_ocup4d,24309,36,6.827258869313376,6.55877001331158,6.6606058910137005,6.4743473660812105,post
total_ocup4d,24310,37,6.833434964772075,6.573300232476822,6.673190830679106,6.4816443524362795,post
total_ocup4d,24311,38,6.831460964450223,6.567824387183817,6.666446444857732,6.473561995504762,post
total_ocup4d,24312,39,6.822577534185728,6.575422131678554,6.6674623532327315,6.477510058077601,post
total_ocup4d,24313,40,6.832837463299554,6.576107581694529,6.660117643805748,6.4720773083077665,post
total_ocup4d,24314,41,6.836946979721927,6.5708893545592035,6.655693686710393,6.474622642683445,post
total_ocup4d,24315,42,6.843374043882404,6.5602870096171735,6.650921065453249,6.465372330781809,post
province_ocup4d,24253,-20,2.6600570730671866,2.5757800039846743,2.660057073079192,2.6633609275485624,pre
province_ocup4d,24254,-19,2.662930432023746,2.578438689803399,2.6629304320321063,2.6662342871093303,pre
province_ocup4d,24255,-18,2.649076483136451,2.5632716036371925,2.6490764831399596,2.652380337847759,pre
province_ocup4d,24256,-17,2.635465708579447,2.5515494857433874,2.6354657086298823,2.638769563999464,pre
province_ocup4d,24257,-16,2.6050762243310808,2.52276147113991,2.6050762243706114,2.608380079737032,pre
province_ocup4d,24258,-15,2.5735098693527587,2.4856265549902896,2.57350986937989,2.576813724291654,pre
province_ocup4d,24259,-14,2.5479158469777246,2.43968513456767,2.547915846889735,2.551219699624003,pre
province_ocup4d,24260,-13,2.5412756448011775,2.4285242152170707,2.5412756447992937,2.54457949877365,pre
province_ocup4d,24261,-12,2.519484224717736,2.406716341067799,2.5194842246680125,2.522788078093895,pre
province_ocup4d,24262,-11,2.5067067875797333,2.410991985447551,2.5067067876540463,2.5100106433389198,pre
province_ocup4d,24263,-10,2.487278256088387,2.3943886151660614,2.487278256018375,2.4905821090452465,pre
province_ocup4d,24264,-9,2.463420423759078,2.389016911162531,2.4634204238733104,2.466724280472143,pre
province_ocup4d,24265,-8,2.4775370508447976,2.3952496913382153,2.47753705078906,2.48084090483846,pre
province_ocup4d,24266,-7,2.470803862775919,2.3900822143208016,2.4708038627085656,2.4741077161655665,pre
province_ocup4d,24267,-6,2.4617870852998487,2.38991246847219,2.4617870853365043,2.4650909404459806,pre
province_ocup4d,24268,-5,2.445636685210092,2.374499171016332,2.4456366853111784,2.4489405412275063,pre
province_ocup4d,24269,-4,2.423190993729356,2.3509160976855292,2.4231909937000973,2.426494848238212,pre
province_ocup4d,24270,-3,2.4184711737491664,2.326368028819644,2.41847117376158,2.4217750282538506,pre
province_ocup4d,24271,-2,2.4388977742276596,2.3244040426224406,2.43889777420416,2.442201628226095,pre
province_ocup4d,24272,-1,2.461504500251367,2.3386735773202774,2.46150450013988,2.464808353143879,pre
province_ocup4d,24273,0,2.459294913774016,2.3432249190778367,2.459294913792476,2.4625987676173824,pre
province_ocup4d,24274,1,2.457622117337725,2.3425069067170092,2.434866345854189,2.4364678394246715,post
province_ocup4d,24275,2,2.452122623709941,2.3428626178960763,2.432229601407677,2.43454757931124,post
province_ocup4d,24276,3,2.446541181168343,2.33565622466414,2.424431394783962,2.430998762230379,post
province_ocup4d,24277,4,2.4672457425159378,2.3550897416941696,2.441275759636608,2.444048768248117,post
province_ocup4d,24278,5,2.460624681176295,2.3478356116013837,2.424276961074566,2.424979544088166,post
province_ocup4d,24279,6,2.4439073693489903,2.328502256435421,2.389009954290928,2.3925534260559074,post
province_ocup4d,24280,7,2.4184307955607447,2.306175608703557,2.35309636020147,2.3572666706139422,post
province_ocup4d,24281,8,2.4046540966278958,2.2882045289869843,2.32628277915063,2.3307002133645107,post
province_ocup4d,24282,9,2.4013858196182274,2.2720932537412692,2.3201838151771828,2.3223034945385725,post
province_ocup4d,24283,10,2.4202281143883404,2.2697978006945028,2.3267767961908,2.327617420345201,post
province_ocup4d,24284,11,2.4357071762839464,2.276219766463446,2.3345635884145777,2.341075442968385,post
province_ocup4d,24285,12,2.437889013212528,2.282828687754854,2.3431979142096524,2.3514989458352455,post
province_ocup4d,24286,13,2.4488239487506958,2.298865124000509,2.356458981124361,2.3625485346568103,post
province_ocup4d,24287,14,2.44503995306219,2.294768042021557,2.355518538127407,2.3592699949751625,post
province_ocup4d,24288,15,2.4333219671542543,2.293400774804676,2.3498462846660986,2.3507120316981647,post
province_ocup4d,24289,16,2.442900593971937,2.309783469383296,2.3571365580688903,2.3707953595729747,post
province_ocup4d,24290,17,2.433247336403639,2.309776810472645,2.348982723030429,2.364045554676195,post
province_ocup4d,24291,18,2.42365212281543,2.30358504015001,2.3418701933314665,2.3565392715299724,post
province_ocup4d,24292,19,2.4049653319460145,2.2851264047753297,2.3120163532497875,2.32316847453384,post
province_ocup4d,24294,21,2.3719241514822995,2.2433133429263297,2.264206716867571,2.2731138670306175,post
province_ocup4d,24295,22,2.3888900708580296,2.242465022652518,2.2850234372918976,2.2827190669266315,post
province_ocup4d,24296,23,2.4091859309207706,2.2512980540497813,2.2940849393385916,2.2931929357483782,post
province_ocup4d,24297,24,2.4071789525337444,2.259278013982127,2.2989151153229237,2.291721485492423,post
province_ocup4d,24298,25,2.414988946596521,2.2712956546600043,2.3032425793270743,2.299614497740176,post
province_ocup4d,24299,26,2.4174259539645027,2.267818328977648,2.3046307375353883,2.2986781074784157,post
province_ocup4d,24300,27,2.41010725614662,2.265178814209961,2.292540574898605,2.2868916846170655,post
province_ocup4d,24301,28,2.4222749758425723,2.2773620152387575,2.2981898473275937,2.291315030563614,post
province_ocup4d,24302,29,2.42025005564069,2.2724855776463517,2.2838069158391217,2.277816247450616,post
province_ocup4d,24303,30,2.4112299203540903,2.26709076085288,2.2689987359038004,2.261528204428273,post
province_ocup4d,24304,31,2.3862063641280113,2.245264111389581,2.232088615146954,2.2294923986265633,post
province_ocup4d,24305,32,2.368826350404153,2.2303187735984285,2.2162504302389263,2.2123621395980275,post
province_ocup4d,24306,33,2.3629831986572833,2.2057623628970418,2.20227102823286,2.2028441191649266,post
province_ocup4d,24307,34,2.3807097400252166,2.209994380646076,2.22454010355477,2.2168289275175117,post
province_ocup4d,24308,35,2.402138125052592,2.2185306760047294,2.239747852001924,2.2310208153226356,post
province_ocup4d,24309,36,2.4032597813051972,2.220658415440692,2.228277174667846,2.2208711882194745,post
province_ocup4d,24310,37,2.408972611968219,2.2351445636717817,2.234917635469452,2.226470996455351,post
province_ocup4d,24311,38,2.406034912074255,2.2327164820574446,2.232721385695076,2.227811262002056,post
province_ocup4d,24312,39,2.3983645070157924,2.235215465730157,2.240488011933169,2.23462120373533,post
province_ocup4d,24313,40,2.411505714552677,2.240311500784836,2.2349525510249113,2.23217105058835,post
province_ocup4d,24314,41,2.4115759480391676,2.2373745639397518,2.230061517842976,2.226291300580344,post
province_ocup4d,24315,42,2.4080215198523645,2.2274527885334576,2.2220140703034446,2.2142515762120794,post
age3039_ocup4d,24253,-20,5.584015847279156,5.36922664242052,5.5840158469864125,5.37018614959049,pre
age3039_ocup4d,24254,-19,5.581186807623778,5.369667117980134,5.581186808533304,5.367357145567742,pre
age3039_ocup4d,24255,-18,5.551212904565336,5.335076225991495,5.55121290355921,5.33738317997093,pre
age3039_ocup4d,24256,-17,5.518606740042323,5.3212594943382925,5.518606740651778,5.304777097125424,pre
age3039_ocup4d,24257,-16,5.489238905177887,5.274304673728236,5.489238904748772,5.275409199091747,pre
age3039_ocup4d,24258,-15,5.444651299397356,5.216079287982914,5.44465129977197,5.230821621740868,pre
age3039_ocup4d,24259,-14,5.394612624671616,5.139852382969159,5.3946126235916,5.180782909335817,pre
age3039_ocup4d,24260,-13,5.369052045627642,5.127065598223648,5.369052046570491,5.15522237542807,pre
age3039_ocup4d,24261,-12,5.313566065793139,5.065877343539969,5.3135660646329965,5.09973635665715,pre
age3039_ocup4d,24262,-11,5.286831429067657,5.070454592113245,5.286831430563901,5.073001777981223,pre
age3039_ocup4d,24263,-10,5.2505625719007485,5.032011390328326,5.250562571112547,5.0367328689334325,pre
age3039_ocup4d,24264,-9,5.220607401925989,5.017129121920017,5.220607402112196,5.006777720619684,pre
age3039_ocup4d,24265,-8,5.208355256126722,5.015342918516275,5.2083552558659925,4.994525566494528,pre
age3039_ocup4d,24266,-7,5.184073952135947,4.9969734981543485,5.184073952432918,4.970244273496107,pre
age3039_ocup4d,24267,-6,5.161233196678229,4.993677436963807,5.161233196855197,4.947403519952017,pre
age3039_ocup4d,24268,-5,5.127841107259839,4.962966697701194,5.127841107593546,4.9140114330522895,pre
age3039_ocup4d,24269,-4,5.102100642584109,4.9070947834552365,5.102100642491968,4.888270955683513,pre
age3039_ocup4d,24270,-3,5.069775266047588,4.86636751206486,5.0697752663341955,4.855945586022679,pre
age3039_ocup4d,24271,-2,5.104539993087115,4.8746709616510495,5.104539992758775,4.8907103068213305,pre
age3039_ocup4d,24272,-1,5.1264633272244975,4.895587717199293,5.126463327808826,4.912633656190314,pre
age3039_ocup4d,24273,0,5.123118528057396,4.872993840571771,5.1231185272668,4.909288809894619,pre
age3039_ocup4d,24274,1,5.102932676517435,4.8607799692873535,5.076501543904479,4.858744504005407,post
age3039_ocup4d,24275,2,5.087356058337843,4.851603492940053,5.0924047819587495,4.876099905317108,post
age3039_ocup4d,24276,3,5.070266185118073,4.8477620955757486,5.077896884936863,4.8547853041762465,post
age3039_ocup4d,24277,4,5.125363899631318,4.8804473162699855,5.124325277264541,4.895095219145996,post
age3039_ocup4d,24278,5,5.12460270831029,4.866259846421088,5.082676642182514,4.85916440932654,post
age3039_ocup4d,24279,6,5.100623919299293,4.838491693091675,5.061200568206279,4.833849239270903,post
age3039_ocup4d,24280,7,5.098188449414706,4.8077695623090815,5.040459315708043,4.811922633128972,post
age3039_ocup4d,24281,8,5.080423945359817,4.774253109557256,5.0097486424675015,4.777421062555057,post
age3039_ocup4d,24282,9,5.065280219631411,4.756741825264001,5.010087374567046,4.77274029355341,post
age3039_ocup4d,24283,10,5.089582704171354,4.749180425742193,5.042829841051122,4.796484359472455,post
age3039_ocup4d,24284,11,5.108694562964156,4.765089138024216,5.068912305975813,4.817632712239916,post
age3039_ocup4d,24285,12,5.092144427954442,4.7601749439073355,5.046931875378751,4.7949430154662425,post
age3039_ocup4d,24286,13,5.117455802558384,4.776451397518911,5.07929389749081,4.819451034487178,post
age3039_ocup4d,24287,14,5.107146627938259,4.768086377422502,5.069001569186524,4.813453321638159,post
age3039_ocup4d,24288,15,5.1153541945335395,4.769085820152709,5.064907772944216,4.8131192027943905,post
age3039_ocup4d,24289,16,5.1473725939781305,4.799225862239662,5.092346518157235,4.841992199587441,post
age3039_ocup4d,24290,17,5.131852049994096,4.778585501787068,5.070658104047857,4.820393182620605,post
age3039_ocup4d,24291,18,5.126508337622179,4.7559752049253685,5.048242889723705,4.794530740321762,post
age3039_ocup4d,24292,19,5.110622743114289,4.724428583043318,5.0206813565446655,4.766192337572308,post
age3039_ocup4d,24294,21,5.063755724522848,4.672021930406744,4.976738192843375,4.7210827022047175,post
age3039_ocup4d,24295,22,5.083733944271909,4.672709871929668,5.008027535026885,4.75664093858143,post
age3039_ocup4d,24296,23,5.126409869489685,4.706613948182197,5.04639530498812,4.798856582543944,post
age3039_ocup4d,24297,24,5.094504591186892,4.671754837804602,5.00312149241704,4.754731323116717,post
age3039_ocup4d,24298,25,5.095406237887721,4.707683484801184,5.011949484607227,4.758184738085769,post
age3039_ocup4d,24299,26,5.116791046022082,4.694634387324357,4.996617832767593,4.7404298921345225,post
age3039_ocup4d,24300,27,5.10817732194914,4.703324816180658,4.995173426993939,4.733879769767962,post
age3039_ocup4d,24301,28,5.13842509455252,4.7235805791135315,5.012817052781416,4.757339898925332,post
age3039_ocup4d,24302,29,5.135892385377619,4.7002027804509545,4.993783895558607,4.735799084466767,post
age3039_ocup4d,24303,30,5.123933831989832,4.685931613953795,4.9626643836437525,4.718778697809147,post
age3039_ocup4d,24304,31,5.100119112973016,4.657457874301019,4.945511282215206,4.68995586031535,post
age3039_ocup4d,24305,32,5.080506683366823,4.636444451586528,4.937090225448871,4.690696791993616,post
age3039_ocup4d,24306,33,5.049016779626225,4.5964830117430076,4.912732224101428,4.662714391939033,post
age3039_ocup4d,24307,34,5.081668294565629,4.602471012086975,4.941871471127668,4.688970673334294,post
age3039_ocup4d,24308,35,5.115830122316768,4.636030584253266,4.988913919589503,4.731161053995341,post
age3039_ocup4d,24309,36,5.100028038081268,4.609237195558917,4.945316192356575,4.689104274946213,post
age3039_ocup4d,24310,37,5.101422629572232,4.62697660884202,4.955960228624476,4.696997277768916,post
age3039_ocup4d,24311,38,5.10073880319154,4.621557066971184,4.952820673771124,4.695222475638513,post
age3039_ocup4d,24312,39,5.108383882907542,4.660518023698983,4.960426607437498,4.713431328515656,post
age3039_ocup4d,24313,40,5.113919601392387,4.6552335220241385,4.952921423959717,4.703824565468382,post
age3039_ocup4d,24314,41,5.1317383694008365,4.637868111113137,4.929999717497384,4.687163638309766,post
age3039_ocup4d,24315,42,5.1388863933871285,4.622980664067399,4.92257352766178,4.672644187197711,post
